Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.8748053014,133736.125,0.741158247,1795.60437,0.6955491304,130011.625,3.876711488,1796.110474,0.6071879864,3500.844727,0.5518602729,127486.0547,3.747568727,3500.914063,0.4458976388,2471.46875,0.5216907263,519.3473511,0.5216907263,519.3474731,0.312093735,125822.0781,3.574893832,517.2675171,3.574893832,517.2675781,0.4333057403,517.2484131,0.4333057403,517.2484741,0.076763272,128691.9922,3.4867419,508.2330017,3.4867419,508.2330627,3.309073091,3567.049316,0.0196942089999999,4539.848633,0.222770929,130594.9141,0.168681145,3567.131592,3.425417781,1834.479614,0.40585953,133926.5,0.28976655,1834.186035,0.5518602729,127486.0547,3.58749029238979,2471.46875,0.076763272,128691.9922,3.16128686258979,4539.848633
0.0333,0.8748052714,133735.9844,0.7411581872,1795.602783,0.6955491302,130011.5078,3.876711368,1796.108765,0.6071879861,3500.841309,0.5518602131,127485.9297,3.747568607,3500.910889,0.445897579,2471.466553,0.5216906664,519.3468628,0.5216906664,519.3469849,0.312093735,125821.9609,3.574893713,517.2670898,3.574893713,517.2671509,0.4333056805,517.2479248,0.4333056805,517.2479858,0.076763272,128691.875,3.486742019,508.2325134,3.486742019,508.232605,3.309072971,3567.045898,0.0196942090000001,4539.844238,0.222770929,130594.7891,0.168681144,3567.128418,3.425417661,1834.477905,0.4058594701,133926.375,0.289766431,1834.184326,0.5518602131,127485.9297,3.58749023258979,2471.466553,0.076763272,128691.875,3.16128686258979,4539.844238
0.0666,0.8748053316,133736.1406,0.7411582473,1795.604858,0.6955491904,130011.6563,3.876711607,1796.110962,0.6071879867,3500.845703,0.5518602732,127486.0859,3.747568846,3500.915039,0.4458976391,2471.469482,0.521690667,519.3475342,0.521690667,519.3475952,0.312093735,125822.1172,3.574893952,517.2677002,3.574893952,517.2677612,0.4333057407,517.2485352,0.4333057407,517.2485962,0.0767632729999999,128692.0234,3.48674202,508.2331238,3.48674202,508.2331848,3.309073091,3567.050293,0.0196942089999999,4539.849609,0.22277093,130594.9453,0.168681264,3567.132568,3.425417662,1834.480225,0.4058595303,133926.5469,0.28976655,1834.186523,0.5518602732,127486.0859,3.58749029268979,2471.469482,0.0767632729999999,128692.0234,3.16128686258979,4539.849609
0.0999,0.8748053314,133735.9688,0.7411581875,1795.602783,0.6955491306,130011.5,3.876711488,1796.108765,0.6071879269,3500.841309,0.5518602134,127485.9375,3.747568727,3500.910889,0.4458975793,2471.466553,0.5216906668,519.3469238,0.5216906668,519.3469849,0.312093735,125821.9609,3.574893832,517.2670288,3.574893832,517.2671509,0.4333056809,517.2479248,0.4333056809,517.2479858,0.076763272,128691.875,3.486741901,508.2325134,3.486741901,508.232605,3.309072971,3567.045898,0.0196942090000001,4539.844238,0.222770929,130594.7891,0.168681145,3567.128418,3.425417543,1834.477905,0.4058594705,133926.375,0.289766431,1834.184326,0.5518602134,127485.9375,3.58749023288979,2471.466553,0.076763272,128691.875,3.16128686258979,4539.844238
0.1332,0.8748052716,133736.1094,0.7411581277,1795.60437,0.6955490708,130011.625,3.876711368,1796.110474,0.6071879267,3500.844727,0.5518601536,127486.0547,3.747568607,3500.914063,0.4458975195,2471.46875,0.521690607,519.3473511,0.521690607,519.3474731,0.312093735,125822.0781,3.574893713,517.2675171,3.574893713,517.2676392,0.4333056211,517.2484131,0.4333056211,517.2484741,0.0767631530000001,128691.9922,3.48674202,508.2330017,3.48674202,508.2330627,3.309072971,3567.049316,0.0196942090000001,4539.848633,0.22277081,130594.9063,0.168681145,3567.131836,3.425417662,1834.479614,0.4058594107,133926.5,0.289766431,1834.186035,0.5518601536,127486.0547,3.58749017308979,2471.46875,0.0767631530000001,128691.9922,3.16128686258979,4539.848633
0.1665,0.8748052711,133736.0156,0.7411581869,1795.603027,0.6955491299,130011.5313,3.876711368,1796.109009,0.6071879859,3500.841797,0.5518602128,127485.9531,3.747568845,3500.911377,0.4458975787,2471.467041,0.5216906662,519.3469849,0.5216906662,519.3470459,0.312093734,125821.9844,3.574893951,517.2671509,3.574893951,517.2672119,0.4333056803,517.2479858,0.4333056803,517.2480469,0.076763272,128691.8906,3.486742019,508.232605,3.486742019,508.2326965,3.30907309,3567.046631,0.0196942089999999,4539.845215,0.222770929,130594.8047,0.168681144,3567.128906,3.425417661,1834.478271,0.4058594699,133926.4063,0.28976643,1834.18457,0.5518602128,127485.9531,3.58749023228979,2471.467041,0.076763272,128691.8906,3.16128686258979,4539.845215
0.1998,0.8748053015,133736.0469,0.7411582471,1795.603638,0.6955491901,130011.5703,3.876711607,1796.109619,0.6071880461,3500.843018,0.5518603326,127485.9922,3.747568846,3500.912354,0.4458976389,2471.467773,0.5216907264,519.3471069,0.5216907264,519.347229,0.312093735,125822.0234,3.574893952,517.2672729,3.574893952,517.267395,0.4333057404,517.2481689,0.4333057404,517.24823,0.076763272,128691.9297,3.48674202,508.2327576,3.48674202,508.2328186,3.309073091,3567.047607,0.0196943279999999,4539.846191,0.222770929,130594.8516,0.168681264,3567.130127,3.425417662,1834.47876,0.4058595301,133926.4375,0.28976655,1834.185181,0.5518603326,127485.9922,3.58749029248979,2471.467773,0.076763272,128691.9297,3.16128698158979,4539.846191
0.2331,0.8748053013,133736.0469,0.7411581873,1795.603638,0.6955491303,130011.5625,3.876711488,1796.109619,0.6071879862,3500.843018,0.5518602132,127485.9922,3.747568726,3500.912354,0.4458975791,2471.467773,0.5216906666,519.3471069,0.5216906666,519.347168,0.312093735,125822.0234,3.574893832,517.2672729,3.574893832,517.267395,0.4333056806,517.2481689,0.4333056806,517.24823,0.076763272,128691.9297,3.4867419,508.2327576,3.4867419,508.2328186,3.30907309,3567.047607,0.0196942089999999,4539.846191,0.222770929,130594.8516,0.168681145,3567.130127,3.425417781,1834.47876,0.4058594702,133926.4531,0.28976655,1834.185181,0.5518602132,127485.9922,3.58749023268979,2471.467773,0.076763272,128691.9297,3.16128686258979,4539.846191
0.2664,0.8748052117,133736.0156,0.7411581274,1795.603027,0.6955490705,130011.5234,3.876711368,1796.109009,0.6071879264,3500.842041,0.5518602129,127485.9531,3.747568607,3500.911377,0.4458975193,2471.466797,0.5216906067,519.3469849,0.5216906067,519.3470459,0.312093615,125821.9844,3.574893713,517.2671509,3.574893713,517.2672119,0.4333056208,517.2479858,0.4333056208,517.2480469,0.0767631529999999,128691.8906,3.486742019,508.232605,3.486742019,508.232666,3.309072971,3567.046631,0.0196942090000001,4539.845215,0.222770929,130594.8047,0.168681144,3567.128906,3.425417661,1834.478271,0.40585947,133926.4063,0.289766431,1834.18457,0.5518602129,127485.9531,3.58749017288979,2471.466797,0.0767631529999999,128691.8906,3.16128686258979,4539.845215
0.2997,0.8748052719,133736.1094,0.7411581876,1795.60437,0.6955491307,130011.625,3.876711607,1796.110474,0.6071879866,3500.844727,0.5518602731,127486.0547,3.747568846,3500.914063,0.4458975794,2471.46875,0.5216906669,519.3473511,0.5216906669,519.3474731,0.312093735,125822.0781,3.574893952,517.2675171,3.574893952,517.2675781,0.433305681,517.2484131,0.433305681,517.2484741,0.0767632730000001,128691.9922,3.48674202,508.2330017,3.48674202,508.2330627,3.309073091,3567.049316,0.0196942090000001,4539.848633,0.22277093,130594.9141,0.168681145,3567.131592,3.425417662,1834.479614,0.4058594706,133926.5,0.28976655,1834.186035,0.5518602731,127486.0547,3.58749023298979,2471.46875,0.0767632730000001,128691.9922,3.16128686258979,4539.848633
