Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.83191099575,135632.9688,0.77478101103,1376.988037,0.696554169,133895.3281,3.9082955125,1376.901489,0.7228948474,2655.302246,0.590952307,133593.7188,3.8628283735,2654.950439,0.4811348021,1706.845337,0.619528234,468.1410217,0.619528234,468.1410828,0.385982275,133031.0156,3.6576887365,464.2843323,3.6576887365,464.2843933,0.5161016881,464.2640991,0.5161016881,464.2641907,0.185560286,135157.2344,3.5535725355,455.5582886,3.5535725355,455.5583496,3.5128856895,2735.009766,0.1338976621,3580.599365,0.2933737635,134676.75,0.3729082644,2735.606201,3.5338686705,1415.898804,0.4323193729,135958.6719,0.4001576006,1416.286865,0.590952307,133593.7188,3.62272745568979,1706.845337,0.185560286,135157.2344,3.27549031568979,3580.599365
0.0333,0.83191104608,135632.875,0.77478105577,1376.987061,0.6965542138,133895.2344,3.9082955716,1376.900391,0.7228948772,2655.300293,0.5909523368,133593.6094,3.8628281956,2654.948242,0.4811348319,1706.843994,0.6195282489,468.1406555,0.6195282489,468.1407166,0.3859823346,133030.9219,3.6576887966,464.2839966,3.6576887966,464.2840576,0.5161017478,464.2637634,0.5161017478,464.2638245,0.1855603457,135157.1406,3.5535725956,455.5579224,3.5535725956,455.5580139,3.5128857496,2735.007568,0.1338976622,3580.59668,0.2933738232,134676.6406,0.3729082942,2735.604248,3.5338687296,1415.897705,0.4323194027,135958.5781,0.4001576305,1416.285767,0.5909523368,133593.6094,3.62272748548979,1706.843994,0.1855603457,135157.1406,3.27549031578979,3580.59668
0.0666,0.83191092682,135632.9063,0.77478098122,1376.987427,0.6965541243,133895.2656,3.9082955124,1376.900757,0.7228948176,2655.301025,0.5909522772,133593.6563,3.8628281354,2654.948975,0.4811347723,1706.844482,0.6195282042,468.1408081,0.6195282191,468.1408691,0.3859822452,133030.9531,3.6576887364,464.2841187,3.6576887364,464.2841797,0.5161016583,464.263916,0.5161016583,464.2639771,0.185560286,135157.1719,3.5535722974,455.5581055,3.5535722974,455.5581665,3.5128856894,2735.008545,0.1338976025,3580.597656,0.2933737635,134676.6875,0.3729082346,2735.60498,3.5338686704,1415.898071,0.4323193431,135958.6094,0.4001575708,1416.286133,0.5909522772,133593.6563,3.62272742588979,1706.844482,0.185560286,135157.1719,3.27549025608979,3580.597656
0.0999,0.83191093618,135632.9063,0.77478095891,1376.987427,0.6965541244,133895.2656,3.9082955119,1376.900757,0.7228947878,2655.301025,0.5909522474,133593.6563,3.8628281359,2654.948975,0.4811347425,1706.844482,0.6195281595,468.1408081,0.6195281595,468.1408691,0.3859822452,133030.9531,3.6576884989,464.2841187,3.6576884989,464.2841797,0.5161016286,464.2638855,0.5161016286,464.2639771,0.1855602265,135157.1719,3.5535722969,455.558075,3.5535722969,455.558136,3.5128856899,2735.008545,0.1338976026,3580.597656,0.293373704,134676.6875,0.3729082048,2735.60498,3.5338686709,1415.898071,0.4323192835,135958.6094,0.4001575411,1416.286133,0.5909522474,133593.6563,3.62272739608979,1706.844482,0.1855602265,135157.1719,3.27549025618979,3580.597656
0.1332,0.83191100504,135632.8594,0.77478101101,1376.987061,0.6965541541,133895.2344,3.9082955719,1376.900391,0.7228948474,2655.300293,0.5909523069,133593.6094,3.8628281949,2654.948242,0.4811348021,1706.843994,0.6195282191,468.1406555,0.6195282191,468.1407166,0.3859823048,133030.9219,3.6576885579,464.2839661,3.6576885579,464.2840271,0.5161016881,464.2637634,0.5161016881,464.2638245,0.185560286,135157.1406,3.5535723569,455.5579529,3.5535723569,455.5580139,3.5128857489,2735.007568,0.1338976621,3580.59668,0.2933737635,134676.6406,0.3729082644,2735.604248,3.5338687299,1415.897583,0.4323193729,135958.5781,0.4001576006,1416.285767,0.5909523069,133593.6094,3.62272745568979,1706.843994,0.185560286,135157.1406,3.27549031568979,3580.59668
0.1665,0.83191097436,135632.9688,0.7747809887,1376.988037,0.6965541244,133895.3281,3.9082955714,1376.901489,0.7228948176,2655.302246,0.5909522772,133593.7188,3.8628281954,2654.950195,0.4811347723,1706.845337,0.6195282042,468.1410217,0.6195282042,468.1410828,0.3859822154,133031.0313,3.6576885584,464.2843323,3.6576885584,464.2843933,0.5161016584,464.2641296,0.5161016584,464.2641907,0.1855602861,135157.2344,3.5535723564,455.5582886,3.5535723564,455.5583801,3.5128857494,2735.009766,0.1338976026,3580.599365,0.293373704,134676.75,0.3729082346,2735.606201,3.5338687304,1415.898682,0.4323193133,135958.6875,0.4001575708,1416.286865,0.5909522772,133593.7188,3.62272742588979,1706.845337,0.1855602861,135157.2344,3.27549025618979,3580.599365
0.1998,0.83191098175,135632.8438,0.7747809812,1376.986816,0.6965541392,133895.2031,3.9082955718,1376.900146,0.7228948026,2655.299805,0.5909522771,133593.5938,3.8628281948,2654.947754,0.4811347723,1706.84375,0.6195281893,468.1405945,0.6195281893,468.1406555,0.385982275,133030.8906,3.6576885578,464.283905,3.6576885578,464.2839661,0.5161016583,464.2637024,0.5161016583,464.2637634,0.185560286,135157.125,3.5535723568,455.5578613,3.5535723568,455.5579224,3.5128857488,2735.00708,0.1338976025,3580.595947,0.2933737039,134676.625,0.3729082048,2735.60376,3.5338687298,1415.897461,0.4323193132,135958.5469,0.4001575708,1416.285522,0.5909522771,133593.5938,3.62272742588979,1706.84375,0.185560286,135157.125,3.27549025608979,3580.595947
0.2331,0.831911024638,135633,0.7747810185,1376.988525,0.6965541691,133895.3594,3.9082956319,1376.901855,0.7228948548,2655.302979,0.590952307,133593.75,3.8628282549,2654.950928,0.4811348021,1706.845703,0.6195282191,468.1411438,0.6195282191,468.1412048,0.385982275,133031.0625,3.6576886179,464.2844543,3.6576886179,464.2845154,0.5161017179,464.2642517,0.5161017179,464.2643127,0.185560286,135157.2813,3.5535724159,455.5584106,3.5535724159,455.5584717,3.5128858089,2735.010498,0.1338976622,3580.600342,0.2933737636,134676.7813,0.3729082644,2735.606934,3.5338687899,1415.89917,0.4323193729,135958.7188,0.4001576006,1416.287231,0.590952307,133593.75,3.62272745568979,1706.845703,0.185560286,135157.2813,3.27549031578979,3580.600342
0.2664,0.831911057277,135632.8438,0.77478106324,1376.986816,0.6965542287,133895.2031,3.908295691,1376.900146,0.7228948921,2655.299805,0.5909523517,133593.5938,3.862828314,2654.947754,0.4811348618,1706.84375,0.6195282788,468.1405945,0.6195282788,468.1406555,0.3859823347,133030.9063,3.657688677,464.283905,3.657688677,464.2839661,0.5161017478,464.2637024,0.5161017478,464.2637634,0.1855603457,135157.1094,3.553572476,455.5578918,3.553572476,455.5579529,3.512885869,2735.00708,0.1338977218,3580.595947,0.2933738232,134676.625,0.3729082942,2735.60376,3.533868849,1415.897461,0.4323194027,135958.5625,0.4001576603,1416.285522,0.5909523517,133593.5938,3.62272751538979,1706.84375,0.1855603457,135157.1094,3.27549037538979,3580.595947
0.2997,0.831910971314,135632.9688,0.77478098869,1376.988037,0.6965541542,133895.3281,3.9082956318,1376.901489,0.722894825,2655.302246,0.5909522772,133593.7188,3.8628282548,2654.950195,0.4811347723,1706.845337,0.6195282042,468.1410217,0.6195282042,468.1410828,0.3859822452,133031.0156,3.6576886178,464.2843323,3.6576886178,464.2843933,0.5161016881,464.2641296,0.5161016881,464.2641907,0.185560286,135157.2344,3.5535724158,455.5582886,3.5535724158,455.5583496,3.5128858088,2735.009766,0.1338976026,3580.599365,0.2933737636,134676.75,0.3729082346,2735.606201,3.5338687898,1415.898682,0.4323193431,135958.6719,0.4001575708,1416.286865,0.5909522772,133593.7188,3.62272742588979,1706.845337,0.185560286,135157.2344,3.27549025618979,3580.599365
