Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,0.827586531,135048.875,0.751123666,1544.910645,0.674954414,132888.2656,3.885564088,1544.939697,0.670032978,2989.657715,0.555051326,132166.2031,3.810163736,2989.414307,0.462740659,2051.4646,0.585176229,463.9307556,0.585176229,463.9308167,0.349795937,131656.8594,3.623512506,460.0292053,3.623512506,460.0292664,0.481925606,460.0091858,0.481925606,460.0092468,0.149255514,133820.2344,3.519536733,451.2897339,3.519536733,451.2897949,3.455105424,3022.192383,0.100915908,3865.128662,0.269466638,133736.1094,0.31496644,3022.661377,3.501551389,1559.80896,0.423151612,135484.2969,0.367074847,1560.01355,0.555051326,132166.2031,3.60433331258979,2051.4646,0.149255514,133820.2344,3.24250856158979,3865.128662
0.0333,0.827586412,135048.9844,0.751123666,1544.912109,0.674954295,132888.3906,3.885563969,1544.94104,0.670032859,2989.6604,0.555051326,132166.3281,3.810163617,2989.416992,0.462740659,2051.466553,0.585176229,463.9311829,0.585176229,463.9312439,0.349795818,131656.9844,3.623512506,460.0296326,3.623512506,460.0296936,0.481925606,460.009613,0.481925606,460.0096741,0.149255514,133820.3594,3.519536733,451.2901611,3.519536733,451.2902222,3.455105424,3022.195068,0.100915909,3865.132324,0.2694664,133736.2344,0.314966321,3022.664307,3.501551389,1559.810425,0.423151612,135484.4219,0.367074847,1560.015015,0.555051326,132166.3281,3.60433331258979,2051.466553,0.149255514,133820.3594,3.24250856258979,3865.132324
0.0666,0.827586412,135048.8906,0.751123667,1544.910889,0.674954295,132888.2813,3.885563969,1544.939941,0.670032859,2989.658203,0.555051327,132166.2188,3.810163617,2989.414795,0.46274066,2051.465088,0.585176229,463.9308167,0.585176229,463.9308777,0.349795818,131656.8906,3.623512387,460.0292664,3.623512387,460.0293274,0.481925487,460.0092468,0.481925487,460.0093384,0.149255514,133820.25,3.519536733,451.2898254,3.519536733,451.2898865,3.455105424,3022.192871,0.100915909,3865.129395,0.2694664,133736.125,0.314966321,3022.661865,3.50155139,1559.809204,0.423151493,135484.3281,0.367074728,1560.013794,0.555051327,132166.2188,3.60433331358979,2051.465088,0.149255514,133820.25,3.24250856258979,3865.129395
0.0999,0.827586412,135048.9375,0.751123547,1544.911377,0.674954295,132888.3281,3.88556397,1544.94043,0.670032859,2989.658936,0.555051327,132166.2656,3.810163617,2989.415771,0.46274066,2051.465576,0.58517611,463.9309692,0.58517611,463.9310303,0.349795818,131656.9219,3.623512387,460.0294189,3.623512387,460.02948,0.481925487,460.0093994,0.481925487,460.0094604,0.149255514,133820.2969,3.519536734,451.2899475,3.519536734,451.2900085,3.455105305,3022.193848,0.100915909,3865.130615,0.2694664,133736.1719,0.314966321,3022.662842,3.50155139,1559.809692,0.423151493,135484.3594,0.367074728,1560.014282,0.555051327,132166.2656,3.60433331358979,2051.465576,0.149255514,133820.2969,3.24250856258979,3865.130615
0.1332,0.827586293,135048.9219,0.751123548,1544.911377,0.674954295,132888.3281,3.88556385,1544.94043,0.67003274,2989.658936,0.555051208,132166.2656,3.810163617,2989.415771,0.462740541,2051.465576,0.58517611,463.9309692,0.58517611,463.9310303,0.349795699,131656.9219,3.623512387,460.0294189,3.623512387,460.02948,0.481925488,460.0093994,0.481925488,460.0094604,0.149255514,133820.2969,3.519536614,451.2899475,3.519536614,451.2900085,3.455105305,3022.193604,0.100915909,3865.130371,0.2694664,133736.1719,0.314966321,3022.662842,3.50155127,1559.809692,0.423151493,135484.3594,0.367074728,1560.014282,0.555051208,132166.2656,3.60433319458979,2051.465576,0.149255514,133820.2969,3.24250856258979,3865.130371
0.1665,0.827586293,135048.875,0.751123548,1544.910889,0.674954176,132888.2813,3.885563851,1544.939941,0.67003274,2989.657959,0.555051208,132166.2188,3.810163498,2989.414795,0.462740541,2051.465088,0.58517611,463.9308167,0.58517611,463.9308777,0.349795699,131656.8906,3.623512268,460.0292664,3.623512268,460.0293274,0.481925488,460.0092468,0.481925488,460.0093384,0.149255276,133820.25,3.519536615,451.2897949,3.519536615,451.289856,3.455105305,3022.192871,0.100915909,3865.129395,0.2694664,133736.125,0.314966202,3022.661865,3.501551271,1559.809204,0.423151493,135484.3281,0.367074728,1560.013794,0.555051208,132166.2188,3.60433319458979,2051.465088,0.149255276,133820.25,3.24250856258979,3865.129395
0.1998,0.827586531,135048.9844,0.751123786,1544.912109,0.674954414,132888.3906,3.885564089,1544.94104,0.670032978,2989.6604,0.555051446,132166.3281,3.810163736,2989.416992,0.462740779,2051.466553,0.585176229,463.9311829,0.585176229,463.9312439,0.349795937,131656.9844,3.623512506,460.0296326,3.623512506,460.0296936,0.481925607,460.009613,0.481925607,460.0096741,0.149255514,133820.3594,3.519536853,451.2901611,3.519536853,451.2902222,3.455105543,3022.195068,0.100915909,3865.132324,0.269466638,133736.2344,0.31496644,3022.664307,3.501551509,1559.810425,0.423151731,135484.4219,0.367074847,1560.015015,0.555051446,132166.3281,3.60433343258979,2051.466553,0.149255514,133820.3594,3.24250856258979,3865.132324
0.2331,0.827586532,135048.8594,0.751123667,1544.910645,0.674954414,132888.2656,3.885564089,1544.939697,0.670032978,2989.657715,0.555051446,132166.2031,3.810163736,2989.414307,0.46274066,2051.4646,0.585176229,463.9307556,0.585176229,463.9308167,0.349795818,131656.8594,3.623512506,460.0292053,3.623512506,460.0292664,0.481925607,460.0091858,0.481925607,460.0092468,0.149255514,133820.2344,3.519536853,451.2897644,3.519536853,451.2897949,3.455105424,3022.192383,0.100915909,3865.128662,0.269466638,133736.1094,0.31496644,3022.661377,3.501551509,1559.80896,0.423151612,135484.2969,0.367074847,1560.01355,0.555051446,132166.2031,3.60433331358979,2051.4646,0.149255514,133820.2344,3.24250856258979,3865.128662
0.2664,0.827586532,135049.0313,0.751123667,1544.912476,0.674954414,132888.4219,3.88556397,1544.941528,0.670032859,2989.661133,0.555051327,132166.3594,3.810163736,2989.417969,0.46274066,2051.467041,0.585176229,463.9313049,0.585176229,463.931366,0.349795818,131657.0313,3.623512506,460.0297546,3.623512506,460.0298157,0.481925607,460.0097351,0.481925607,460.0097961,0.149255514,133820.3906,3.519536853,451.2902832,3.519536853,451.2903442,3.455105424,3022.196045,0.100915909,3865.133301,0.269466639,133736.2656,0.31496644,3022.665039,3.50155139,1559.810791,0.423151612,135484.4531,0.367074847,1560.015381,0.555051327,132166.3594,3.60433331358979,2051.467041,0.149255514,133820.3906,3.24250856258979,3865.133301
0.2997,0.827586412,135048.8594,0.751123667,1544.910645,0.674954295,132888.2656,3.88556397,1544.939575,0.670032859,2989.657471,0.555051327,132166.2031,3.810163617,2989.414307,0.46274066,2051.4646,0.58517623,463.9307556,0.58517623,463.9308167,0.349795818,131656.8594,3.623512387,460.0292053,3.623512387,460.0292664,0.481925607,460.0091858,0.481925607,460.0092468,0.149255514,133820.2344,3.519536734,451.2897339,3.519536734,451.2897949,3.455105424,3022.192383,0.100915909,3865.128662,0.2694664,133736.1094,0.314966321,3022.661377,3.50155139,1559.80896,0.423151612,135484.2969,0.367074847,1560.01355,0.555051327,132166.2031,3.60433331358979,2051.4646,0.149255514,133820.2344,3.24250856258979,3865.128662
