Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,1.2090162188,132875.0313,1.0304783731,1831.937866,1.0255737453,128045.5625,-2.1169497822,1832.900513,0.8644272834,3610.27832,0.8760867268,124112.9688,-2.2783112382,3610.638428,0.7700967937,2538.639893,0.652552709,556.8439331,0.652552709,556.8439941,0.6102138012,116595.9531,-2.5660607662,562.6001587,-2.5660607662,562.6002197,0.6102740019,0.001166004688,0.5755311995,1125.17627,0.0636357665,124765.2344,0.0637164414,0.001247627893,-2.6028723572,1115.505981,3.2182667408,3683.446533,0.00655196599999999,4682.728027,0.2163124941,128309.5,0.0778067186,3683.186768,-2.9108488412,1874.322632,0.4041641354,132927.2656,0.23647022617,1873.499878,0.8760867268,124112.9688,3.91168944728979,2538.639893,0.0636357665,124765.2344,3.14814461958979,4682.728027
0.0333,1.2090193781,132875.125,1.0304809957,1831.94043,1.0255767852,128045.6484,-2.1169470999,1832.903076,0.8644294887,3610.283203,0.8760896474,124113.0313,-2.2783090319,3610.643311,0.770099774,2538.642822,0.6525540501,556.8460083,0.6525540501,556.8461304,0.6102158576,116595.9453,-2.5660590379,562.6022949,-2.5660590379,562.602417,0.6102882474,0.001165886293,0.5755328387,1125.180542,0.063635841,124765.3125,0.0636579543,0.001247777604,-2.6028706279,1115.510254,3.2182660851,3683.448486,0.00655205540000001,4682.73291,0.21631254625,128309.5938,0.0778058841,3683.188721,-2.9108494969,1874.323608,0.4041641503,132927.375,0.23646960777,1873.500854,0.8760896474,124113.0313,3.91169242758979,2538.642822,0.063635841,124765.3125,3.14814470898979,4682.73291
0.0666,1.2090225364,132874.9844,1.0304836183,1831.939819,1.0255797058,128045.5078,-2.1169444176,1832.902466,0.8644317537,3610.281982,0.8760925084,124112.8828,-2.2783068266,3610.641846,0.770102635,2538.641357,0.6525555998,556.8470459,0.6525555998,556.847168,0.6102179139,116595.7578,-2.5660573096,562.6033936,-2.5660573096,562.6034546,0.6102540642,0.001165948925,0.5755346566,1125.182739,0.063636139,124765.1875,0.0637147873,0.001247593202,-2.6028686616,1115.512329,3.2182654294,3683.443848,0.0065523535,4682.729004,0.21631277162,128309.4844,0.0778053328,3683.183838,-2.9108496756,1874.321167,0.4041642099,132927.2813,0.23646932837,1873.498413,0.8760925084,124112.8828,3.91169528858979,2538.641357,0.063636139,124765.1875,3.14814500708979,4682.729004
0.0999,1.2090253385,132875.1563,1.0304861217,1831.942993,1.0255825072,128045.6484,-2.1169420925,1832.90564,0.8644338399,3610.28833,0.8760951906,124113,-2.2783047405,3610.648193,0.7701053172,2538.64502,0.6525571197,556.8491821,0.6525571197,556.8492432,0.6102197319,116595.8281,-2.5660554615,562.6055298,-2.5660554615,562.6056519,0.6102861911,0.001165915048,0.5755364149,1125.187012,0.0636364668,124765.3438,0.0636978,0.001247679233,-2.6028668135,1115.516602,3.2182648925,3683.446533,0.0065526813,4682.734863,0.21631298211,128309.6563,0.0778049081,3683.186523,-2.9108499735,1874.322266,0.4041643142,132927.4531,0.23646919053,1873.499512,0.8760951906,124113,3.91169797078979,2538.64502,0.0636364668,124765.3438,3.14814533488979,4682.734863
0.1332,1.2090280949,132874.9844,1.030488342,1831.941772,1.0255850851,128045.4688,-2.1169398131,1832.904419,0.8644358217,3610.285645,0.8760977089,124112.8281,-2.2783026991,3610.645752,0.7701077759,2538.642578,0.6525586247,556.8498535,0.6525586247,556.8499146,0.6102215945,116595.625,-2.5660536591,562.6062012,-2.5660536591,562.6063232,0.6103241443,0.001165984781,0.5755381286,1125.188354,0.0636368394,124765.2031,0.0637127906,0.001247607986,-2.6028650101,1115.517944,3.2182645499,3683.440186,0.00655305380000001,4682.729004,0.21631325034,128309.5156,0.077804558,3683.180176,-2.9108500781,1874.318848,0.4041644335,132927.3125,0.23646911231,1873.495972,0.8760977089,124112.8281,3.91170042948979,2538.642578,0.0636368394,124765.2031,3.14814570738979,4682.729004
0.1665,1.2090304347,132875.1094,1.0304904431,1831.944336,1.0255874842,128045.5781,-2.1169375923,1832.906982,0.8644376844,3610.290527,0.8761000484,124112.9141,-2.2783009563,3610.650635,0.770110175,2538.645508,0.6525600105,556.8515625,0.6525600105,556.8516235,0.6102232486,116595.6719,-2.5660521533,562.6079712,-2.5660521533,562.6080322,0.6102523655,0.001165976049,0.575539723,1125.191895,0.063637197,124765.3125,0.0636618435,0.001247567241,-2.6028632673,1115.521484,3.2182643857,3683.44165,0.00655341149999999,4682.73291,0.2163135074,128309.6484,0.0778042748,3683.181641,-2.9108500033,1874.319336,0.4041645378,132927.4531,0.23646904899,1873.496582,0.8761000484,124112.9141,3.91170282858979,2538.645508,0.063637197,124765.3125,3.14814606508979,4682.73291
0.1998,1.2090327594,132874.9844,1.0304922909,1831.943481,1.0255896896,128045.4688,-2.1169357446,1832.906128,0.8644392938,3610.289307,0.8761021942,124112.7891,-2.2782993466,3610.64917,0.7701122612,2538.644043,0.6525610536,556.8522949,0.6525610536,556.852356,0.6102247685,116595.5156,-2.5660510216,562.6087036,-2.5660510216,562.6088257,0.6102984995,0.001165991183,0.5755409449,1125.193359,0.0636373907,124765.2031,0.0636518747,0.001247607404,-2.6028618966,1115.522949,3.2182638494,3683.4375,0.00655360520000001,4682.729492,0.21631365084,128309.5469,0.0778038353,3683.177734,-2.9108503016,1874.317017,0.4041645974,132927.3438,0.23646883295,1873.494263,0.8761021942,124112.7891,3.91170491478979,2538.644043,0.0636373907,124765.2031,3.14814625878979,4682.729492
0.2331,1.2090348151,132875.0156,1.03049393,1831.944458,1.0255916864,128045.5,-2.1169340459,1832.907104,0.8644407541,3610.291748,0.8761041314,124112.8047,-2.2782978859,3610.651611,0.770114258,2538.645508,0.6525618881,556.8535156,0.6525618881,556.8535767,0.6102261991,116595.4922,-2.5660500379,562.6099854,-2.5660500379,562.6100464,0.6102857441,0.001165980007,0.5755419881,1125.195923,0.0636375249,124765.2188,0.0636848957,0.001247538836,-2.6028606739,1115.525391,3.2182634031,3683.437988,0.00655373940000001,4682.731934,0.21631374774,128309.5703,0.0778033883,3683.177979,-2.9108505099,1874.317017,0.4041646123,132927.3906,0.23646858339,1873.494263,0.8761041314,124112.8047,3.91170691158979,2538.645508,0.0636375249,124765.2188,3.14814639298979,4682.731934
0.2664,1.20903644,132875.0156,1.030495435,1831.944336,1.0255933106,128045.4844,-2.11693278,1832.907104,0.8644419014,3610.292969,0.8761057556,124112.7813,-2.27829662,3610.652832,0.7701158226,2538.645996,0.6525625586,556.8544312,0.6525625586,556.8544922,0.6102273166,116595.4375,-2.56604901,562.6109009,-2.56604901,562.6110229,0.6102855504,0.00116602995,0.5755428076,1125.197754,0.0636375695,124765.2031,0.0636334717,0.001247612876,-2.602859885,1115.527222,3.218263,3683.4375,0.00655378400000001,4682.732422,0.21631379518,128309.5625,0.0778029412,3683.177734,-2.910850912,1874.31665,0.4041646421,132927.375,0.23646827787,1873.493896,0.8761057556,124112.7813,3.91170847618979,2538.645996,0.0636375695,124765.2031,3.14814643758979,4682.732422
0.2997,1.2090378851,132874.9688,1.0304967016,1831.943726,1.0255946964,128045.4375,-2.1169314529,1832.906372,0.8644429892,3610.292969,0.8761070221,124112.7344,-2.2782955319,3610.652832,0.7701171487,2538.645508,0.6525633186,556.8549805,0.6525633186,556.8550415,0.6102281957,116595.375,-2.5660481599,562.6115112,-2.5660481599,562.6115723,0.6102711111,0.001165934373,0.5755436867,1125.198975,0.0636377185,124765.1719,0.063670665,0.00124760496,-2.6028590349,1115.528442,3.2182628961,3683.436035,0.00655393299999998,4682.731445,0.21631389573,128309.5391,0.0778027176,3683.176025,-2.9108507779,1874.315674,0.4041646868,132927.3594,0.23646821823,1873.49292,0.8761070221,124112.7344,3.91170980228979,2538.645508,0.0636377185,124765.1719,3.14814658658979,4682.731445
