Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,1.084539056,135004.0469,0.982392788,1395.102539,0.947031737,132433.25,4.116082192,1395.50293,0.89599061,2700.31958,0.838498354,131037.1797,4.035971522,2700.303955,0.728664518,1740.149048,0.838536978,0.001310410793,0.680547953,978.6062012,0.392725587,127596.2734,0.392809034,0.001275919611,3.775145173,976.8115234,0.633551359,488.407959,0.633551359,488.4080505,0.180651546,133240.3906,3.681358338,474.2903137,3.681358338,474.2903748,3.453179956,2762.83374,0.128981114,3632.113037,0.290803909,133578.8594,0.313177586,2763.17749,3.500087142,1430.187012,0.431553245,135484.8438,0.366255999,1430.213745,0.838498354,131037.1797,3.87025717158979,1740.149048,0.180651546,133240.3906,3.27057376758979,3632.113037
0.0333,1.084538817,135003.9219,0.982392668,1395.101196,0.947031617,132433.125,4.116082072,1395.501587,0.895990491,2700.317139,0.838498234,131037.0625,4.035971403,2700.301514,0.728664398,1740.147339,0.838531017,0.001310353982,0.680547833,978.6053467,0.392725467,127596.1563,0.39273417,0.001276021823,3.775145053,976.8106079,0.63355124,488.4075317,0.63355124,488.4075928,0.180651426,133240.2656,3.681358218,474.289856,3.681358218,474.289917,3.453179836,2762.831299,0.128980994,3632.109619,0.29080379,133578.7344,0.313177466,2763.174805,3.500087022,1430.185669,0.431553125,135484.7188,0.366255879,1430.212524,0.838498234,131037.0625,3.87025705158979,1740.147339,0.180651426,133240.2656,3.27057364758979,3632.109619
0.0666,1.084538936,135004.0781,0.982392788,1395.102905,0.947031736,132433.2969,4.116082191,1395.503296,0.89599061,2700.320313,0.838498354,131037.2188,4.035971522,2700.304688,0.728664398,1740.149536,0.838523507,0.001310377964,0.680547952,978.6065063,0.392725587,127596.3125,0.392787814,0.00127590145,3.775145173,976.8117676,0.633551359,488.4081116,0.633551359,488.4081726,0.180651545,133240.4219,3.681358337,474.2904358,3.681358337,474.2904968,3.453179955,2762.834473,0.128981113,3632.11377,0.290803909,133578.8906,0.313177585,2763.178223,3.500087142,1430.187378,0.431553244,135484.875,0.366255998,1430.214233,0.838498354,131037.2188,3.87025705158979,1740.149536,0.180651545,133240.4219,3.27057376658979,3632.11377
0.0999,1.084538818,135003.9219,0.982392669,1395.101196,0.947031617,132433.125,4.116082072,1395.501587,0.895990491,2700.317139,0.838498235,131037.0625,4.035971403,2700.301514,0.728664279,1740.147461,0.838528276,0.001310397638,0.680547834,978.6052856,0.392725349,127596.1563,0.392786026,0.001275940915,3.775145054,976.8106079,0.63355124,488.4075317,0.63355124,488.4075928,0.180651426,133240.2656,3.681358218,474.2898865,3.681358218,474.2899475,3.453179836,2762.831055,0.128980994,3632.109619,0.29080379,133578.7344,0.313177347,2763.174805,3.500087023,1430.185669,0.431553126,135484.7188,0.36625588,1430.212524,0.838498235,131037.0625,3.87025693258979,1740.147461,0.180651426,133240.2656,3.27057364758979,3632.109619
0.1332,1.084538937,135004.0313,0.982392788,1395.102539,0.947031737,132433.25,4.116082192,1395.50293,0.89599061,2700.31958,0.838498354,131037.1797,4.035971523,2700.303955,0.728664398,1740.149048,0.838542581,0.001310355146,0.680547953,978.6062622,0.392725587,127596.2734,0.392802477,0.001275919611,3.775145173,976.8115234,0.633551359,488.407959,0.633551359,488.4080505,0.180651546,133240.3906,3.681358338,474.2903137,3.681358338,474.2903748,3.453179956,2762.83374,0.128981114,3632.113037,0.29080391,133578.8594,0.313177467,2763.17749,3.500087142,1430.187012,0.431553126,135484.8438,0.366255999,1430.213745,0.838498354,131037.1797,3.87025705158979,1740.149048,0.180651546,133240.3906,3.27057376758979,3632.113037
0.1665,1.084538817,135003.9375,0.982392668,1395.10144,0.947031617,132433.1563,4.116082072,1395.501831,0.895990371,2700.317627,0.838498234,131037.0781,4.035971403,2700.301758,0.728664279,1740.147705,0.838541507,0.001310334075,0.680547833,978.6054688,0.392725467,127596.1719,0.39278078,0.001275953604,3.775145054,976.81073,0.63355124,488.4075928,0.63355124,488.4076538,0.180651426,133240.2969,3.681358099,474.2899475,3.681358099,474.2900085,3.453179836,2762.831543,0.128980994,3632.110107,0.29080379,133578.75,0.313177347,2763.175293,3.500087022,1430.185913,0.431553006,135484.7344,0.366255879,1430.212646,0.838498234,131037.0781,3.87025693258979,1740.147705,0.180651426,133240.2969,3.27057364758979,3632.110107
0.1998,1.084538936,135003.9844,0.982392788,1395.101929,0.947031736,132433.1875,4.116082191,1395.502197,0.895990491,2700.318359,0.838498354,131037.125,4.035971522,2700.302734,0.728664398,1740.148193,0.83858037,0.001310335239,0.680547833,978.6057739,0.392725587,127596.2188,0.392766475,0.001275970368,3.775145173,976.8110352,0.633551359,488.4077454,0.633551359,488.4078064,0.180651545,133240.3281,3.681358337,474.2900696,3.681358337,474.2901611,3.453179955,2762.83252,0.128981113,3632.111328,0.290803909,133578.7969,0.313177466,2763.17627,3.500087142,1430.186279,0.431553125,135484.7813,0.366255998,1430.213135,0.838498354,131037.125,3.87025705158979,1740.148193,0.180651545,133240.3281,3.27057376658979,3632.111328
0.2331,1.084538818,135003.9844,0.982392669,1395.101929,0.947031617,132433.1875,4.116082072,1395.502197,0.895990372,2700.318359,0.838498116,131037.125,4.035971403,2700.302734,0.728664279,1740.148193,0.838554383,0.001310384367,0.680547714,978.6057739,0.392725468,127596.2109,0.392760873,0.001275939052,3.775145054,976.8110352,0.63355124,488.4077454,0.63355124,488.4078064,0.180651427,133240.3281,3.681358099,474.2901001,3.681358099,474.2901611,3.453179717,2762.83252,0.128980994,3632.111328,0.29080379,133578.7969,0.313177347,2763.17627,3.500087023,1430.186279,0.431553006,135484.7813,0.36625588,1430.213135,0.838498116,131037.125,3.87025693258979,1740.148193,0.180651427,133240.3281,3.27057364758979,3632.111328
0.2664,1.084538937,135003.9375,0.982392788,1395.10144,0.947031737,132433.1563,4.116082192,1395.501831,0.895990491,2700.317627,0.838498354,131037.0781,4.035971523,2700.301758,0.728664398,1740.147705,0.838523746,0.001310397172,0.680547834,978.6054688,0.392725587,127596.1719,0.392772556,0.001275965828,3.775145173,976.810791,0.633551359,488.4075928,0.633551359,488.4076538,0.180651546,133240.2969,3.681358218,474.2899475,3.681358218,474.2900085,3.453179956,2762.831543,0.128981114,3632.110107,0.29080391,133578.75,0.313177467,2763.175293,3.500087142,1430.185913,0.431553126,135484.7344,0.366255999,1430.212646,0.838498354,131037.0781,3.87025705158979,1740.147705,0.180651546,133240.2969,3.27057376758979,3632.110107
0.2997,1.084538817,135004.0469,0.982392668,1395.102539,0.947031617,132433.25,4.116082072,1395.50293,0.895990371,2700.31958,0.838498115,131037.1797,4.035971284,2700.303955,0.728664279,1740.149048,0.838597059,0.001310412539,0.680547714,978.6062012,0.392725348,127596.2734,0.392750382,0.001275976887,3.775144934,976.8115234,0.63355124,488.4079895,0.63355124,488.4080505,0.180651307,133240.3906,3.681358099,474.2903137,3.681358099,474.2903748,3.453179717,2762.83374,0.128980994,3632.112793,0.29080379,133578.8594,0.313177347,2763.17749,3.500087022,1430.187012,0.431553006,135484.8438,0.366255879,1430.213745,0.838498115,131037.1797,3.87025693258979,1740.149048,0.180651307,133240.3906,3.27057364758979,3632.112793
