Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,1.0786745246,134528.8125,0.9694043393,1562.462769,0.9239097829,131688.125,4.103977084,1562.841553,0.8634443278,3035.73291,0.8011244531,130082.5078,4.003613352,3035.727295,0.7087998386,2084.330322,0.6813231106,480.7706909,0.6813231106,480.770752,0.5827639694,125593.2969,3.726976275,483.5472412,3.726976275,483.5473022,0.5828340049,0.001255971845,0.5853836532,967.0685425,0.142600417,131329.0313,0.142658948,0.00131327752,3.680483222,957.760498,3.385123252,3065.920654,0.09425354,3938.451904,0.266125202,132305.0156,0.244949102,3066.099609,3.461679577,1578.833618,0.422226309,134866.1719,0.327062845,1578.61731,0.8011244531,130082.5078,3.85039249218979,2084.330322,0.142600417,131329.0313,3.23584619358979,3938.451904
0.0333,1.0786745549,134528.8125,0.9694043995,1562.462769,0.9239098431,131688.125,4.103977084,1562.841553,0.863444388,3035.73291,0.8011245133,130082.5078,4.003613353,3035.727295,0.7087998987,2084.330322,0.6813231708,480.7706604,0.6813231708,480.7707214,0.58276397,125593.2969,3.726976276,483.5472412,3.726976276,483.5473022,0.5828209521,0.00125594344,0.5853837134,967.0685425,0.142600536,131329.0313,0.142663598,0.001313260756,3.680483222,957.7605591,3.385123372,3065.920654,0.09425354,3938.451904,0.266125322,132305.0156,0.244949103,3066.099609,3.461679697,1578.833618,0.422226429,134866.1719,0.327062845,1578.61731,0.8011245133,130082.5078,3.85039255228979,2084.330322,0.142600536,131329.0313,3.23584619358979,3938.451904
0.0666,1.0786745249,134528.7656,0.9694043993,1562.46228,0.9239097833,131688.0781,4.103976965,1562.841064,0.8634443282,3035.731934,0.8011245131,130082.4688,4.003613233,3035.726318,0.7087998389,2084.32959,0.6813231706,480.7705383,0.6813231706,480.7705994,0.5827639698,125593.2578,3.726976156,483.5470886,3.726976156,483.5471497,0.5827965139,0.001255971147,0.5853836535,967.0682373,0.142600536,131329,0.142682195,0.001313253306,3.680483103,957.7602539,3.385123372,3065.919678,0.09425354,3938.450684,0.266125202,132304.9688,0.244949102,3066.098633,3.461679578,1578.83313,0.42222631,134866.1406,0.327062845,1578.616821,0.8011245131,130082.4688,3.85039249248979,2084.32959,0.142600536,131329,3.23584619358979,3938.450684
0.0999,1.0786745851,134528.875,0.9694043999,1562.463501,0.9239098435,131688.1719,4.103977204,1562.842285,0.8634443884,3035.734375,0.8011245136,130082.5703,4.003613472,3035.72876,0.7087998991,2084.331299,0.6813232307,480.7709045,0.6813232307,480.7709656,0.5827639704,125593.3516,3.726976395,483.5474548,3.726976395,483.5475464,0.5828110581,0.001255926793,0.5853837137,967.0689697,0.142600537,131329.0938,0.142660618,0.001313313609,3.680483103,957.7609863,3.385123373,3065.922119,0.0942536600000001,3938.453857,0.266125322,132305.0781,0.244949103,3066.101074,3.461679698,1578.834351,0.422226429,134866.2344,0.327062846,1578.618042,0.8011245136,130082.5703,3.85039255268979,2084.331299,0.142600537,131329.0938,3.23584631358979,3938.453857
0.1332,1.0786745253,134528.75,0.9694043997,1562.462036,0.9239097836,131688.0469,4.103977084,1562.84082,0.8634443286,3035.731445,0.8011245134,130082.4453,4.003613353,3035.72583,0.7087998393,2084.329346,0.6813231709,480.7704468,0.6813231709,480.7705383,0.5827639702,125593.2344,3.726976276,483.5470276,3.726976276,483.5470886,0.582833052,0.001255967654,0.5853836539,967.0681152,0.142600537,131328.9688,0.142618418,0.001313257031,3.680483222,957.7600708,3.385123372,3065.919189,0.0942535400000002,3938.450195,0.266125202,132304.9531,0.244949103,3066.098145,3.461679578,1578.832886,0.42222631,134866.1094,0.327062846,1578.616577,0.8011245134,130082.4453,3.85039249288979,2084.329346,0.142600537,131328.9688,3.23584619358979,3938.450195
0.1665,1.0786745845,134528.9063,0.9694044589,1562.463989,0.9239098428,131688.2188,4.103977084,1562.842651,0.8634443878,3035.735107,0.8011245726,130082.6016,4.003613353,3035.729492,0.7087998985,2084.331787,0.6813232301,480.7710266,0.6813232301,480.7711182,0.5827640294,125593.3828,3.726976275,483.5476074,3.726976275,483.5476685,0.5828272103,0.001255933661,0.5853837131,967.0692139,0.142600536,131329.125,0.14265573,0.001313309418,3.680483222,957.7612305,3.385123372,3065.922852,0.094253659,3938.454834,0.266125321,132305.1094,0.244949102,3066.101807,3.461679697,1578.834717,0.422226429,134866.2656,0.327062845,1578.61853,0.8011245726,130082.6016,3.85039255208979,2084.331787,0.142600536,131329.125,3.23584631258979,3938.454834
0.1998,1.0786745247,134528.75,0.969404399,1562.462036,0.923909783,131688.0469,4.103976965,1562.84082,0.8634443279,3035.731445,0.8011245128,130082.4453,4.003613233,3035.72583,0.7087998387,2084.329346,0.6813231703,480.7704468,0.6813231703,480.7705078,0.5827639695,125593.2344,3.726976156,483.5470276,3.726976156,483.5470886,0.5828300711,0.001255918993,0.5853836533,967.0680542,0.142600536,131328.9688,0.142634034,0.001313270535,3.680483102,957.7600708,3.385123372,3065.919189,0.09425354,3938.450195,0.266125202,132304.9531,0.244949102,3066.098145,3.461679577,1578.832886,0.422226429,134866.1094,0.327062845,1578.616577,0.8011245128,130082.4453,3.85039249228979,2084.329346,0.142600536,131328.9688,3.23584619358979,3938.450195
0.2331,1.0786745255,134528.875,0.9694043402,1562.463501,0.9239097242,131688.1719,4.103977085,1562.842285,0.8634442691,3035.734375,0.801124454,130082.5703,4.003613353,3035.728516,0.7087997798,2084.331299,0.6813231115,480.7709045,0.6813231115,480.7709656,0.5827639107,125593.3516,3.726976276,483.5474854,3.726976276,483.5475464,0.582831264,0.001255983487,0.5853835945,967.0689697,0.142600418,131329.0938,0.142637968,0.001313243643,3.680482984,957.7609863,3.385123253,3065.922119,0.09425354,3938.453857,0.266125203,132305.0781,0.244948984,3066.101074,3.461679578,1578.834351,0.42222631,134866.2344,0.327062846,1578.618042,0.801124454,130082.5703,3.85039243338979,2084.331299,0.142600418,131329.0938,3.23584619358979,3938.453857
0.2664,1.0786745846,134528.7656,0.9694043994,1562.46228,0.9239097834,131688.0781,4.103977084,1562.841064,0.8634443283,3035.731934,0.8011245132,130082.4688,4.003613353,3035.726318,0.708799839,2084.32959,0.6813231707,480.7705383,0.6813231707,480.7705994,0.5827639699,125593.2578,3.726976275,483.5470886,3.726976275,483.5471497,0.5827977061,0.001255953102,0.5853836536,967.0682373,0.142600536,131329,0.142672777,0.001313287881,3.680483222,957.7602539,3.385123372,3065.919678,0.09425354,3938.450684,0.266125321,132304.9688,0.244949102,3066.098633,3.461679578,1578.83313,0.42222631,134866.1406,0.327062845,1578.616821,0.8011245132,130082.4688,3.85039249258979,2084.32959,0.142600536,131329,3.23584619358979,3938.450684
0.2997,1.0786745248,134528.8125,0.9694043396,1562.462769,0.9239097236,131688.1094,4.103976965,1562.841553,0.8634442685,3035.73291,0.8011244533,130082.5078,4.003613233,3035.727295,0.7087997792,2084.330322,0.6813231109,480.7706909,0.6813231109,480.770752,0.5827639101,125593.2891,3.726976156,483.5472412,3.726976156,483.5473022,0.5828289388,0.001255962998,0.5853835938,967.0685425,0.142600417,131329.0313,0.142698645,0.001313262968,3.680483103,957.760498,3.385123253,3065.920654,0.0942535400000002,3938.451904,0.266125202,132305.0156,0.244949102,3066.099609,3.461679578,1578.833618,0.42222631,134866.1719,0.327062845,1578.61731,0.8011244533,130082.5078,3.85039243278979,2084.330322,0.142600417,131329.0313,3.23584619358979,3938.451904
