Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,1.0819971558,1.01762091496956,0.9890360828,1.84909187890988,0.9448031188,0.99954687065753,-2.1604899172,1.8494914496944,0.9095079898,3.57525620161188,0.8367751241,0.990730238035087,-2.2337058782,3.57514500279533,0.7269414067,2.3015773386803,0.7166754603,0.643859726936911,0.7166754603,0.643859807939154,0.6190171242,0.956476874430637,-2.5211275812,0.647634621207622,-2.5211275812,0.647634702342655,0.6190528273,1.6865771124417e-06,0.6204650998,1.29523439139948,0.1797170341,0.999320127886288,0.1798088848,1.76210429012597e-06,-2.5677491422,1.28284403670754,-2.8464692832,3.67623505947079,0.1280467212,4.84273400955524,0.2903898358,1.00362683908486,0.2967071831,3.67659815799957,-2.7924674752,1.90228169620532,0.4314605594,1.01930872317515,0.3568614721,1.90218216835125,0.8367751241,0.990730238035087,3.86853406028979,2.3015773386803,0.1797170341,0.999320127886288,3.26963937478979,4.84273400955524
0.0333,1.0819972155,1.01762009186889,0.9890361425,1.84909025753712,0.9448030595,0.999545929325569,-2.1604898575,1.84948982832164,0.9095079305,3.57525295886636,0.8367751241,0.990729296703127,-2.2337060575,3.57514176004981,0.7269414067,2.30157523262199,0.7166754604,0.643859119021719,0.7166754604,0.643859240657874,0.6190171242,0.95647599183779,-2.5211275215,0.64763401342522,-2.5211275215,0.647634094427463,0.6190264821,1.68652037767413e-06,0.6204650998,1.29523317570188,0.1797170639,0.999319186554327,0.1797392369,1.76213180698621e-06,-2.5677490835,1.28284282100995,-2.8464692235,3.67623181805317,0.1280467212,4.84272947077383,0.2903898657,1.0036258977529,0.2967071831,3.67659459257298,-2.7924674155,1.90227991282807,0.4314605594,1.01930778184319,0.3568614721,1.90218038497401,0.8367751241,0.990729296703127,3.86853406028979,2.30157523262199,0.1797170639,0.999319186554327,3.26963937478979,4.84272947077383
0.0666,1.0819971412,1.01762126815731,0.9890360682,1.84909236492333,0.9448031042,0.999547106367053,-2.1604898128,1.84949193570785,0.9095079752,3.57525717363879,0.8367751091,0.99073047374461,-2.2337060128,3.57514597482224,0.7269413918,2.30157798802615,0.7166753858,0.643859929575309,0.7166753858,0.643860010577552,0.6190171688,0.956477168126209,-2.5211277158,0.647634783344898,-2.5211277158,0.647634864347141,0.6190135926,1.68661885117112e-06,0.6204650849,1.29523471567403,0.1797170192,0.999320362842745,0.1797935217,1.76208342076126e-06,-2.5677490388,1.28284436098209,-2.8464691788,3.6762360314977,0.1280467063,4.84273530691903,0.2903898209,1.00362707404132,0.2967071682,3.67659880734542,-2.7924673708,1.90228218221877,0.4314605444,1.0193090763629,0.3568614572,1.90218265436471,0.8367751091,0.99073047374461,3.86853404538979,2.30157798802615,0.1797170192,0.999320362842745,3.26963935988979,4.84273530691903
0.0999,1.0819972158,1.01762009186889,0.9890361428,1.84909025753712,0.9448030588,0.999545929325569,-2.1604899762,1.84948982832164,0.9095079298,3.57525295886636,0.8367751241,0.990729296703127,-2.2337059382,3.57514176004981,0.7269414067,2.30157523262199,0.7166754007,0.643859159655631,0.7166754007,0.643859240657874,0.6190171838,0.95647599183779,-2.5211276412,0.64763401342522,-2.5211276412,0.647634094427463,0.6190748811,1.6865231609643e-06,0.6204650998,1.29523317570188,0.1797170341,0.999319186554327,0.1797822118,1.76205791435012e-06,-2.5677489642,1.28284282100995,-2.8464693432,3.67623181805317,0.1280467212,4.84272947077383,0.2903898358,1.0036258977529,0.2967071831,3.67659459257298,-2.7924672962,1.90227991282807,0.4314604997,1.01930778184319,0.3568614721,1.90218038497401,0.8367751241,0.990729296703127,3.86853406028979,2.30157523262199,0.1797170341,0.999319186554327,3.26963937478979,4.84272947077383
0.1332,1.0819972161,1.01762103320085,0.9890361431,1.84909187890988,0.9448031781,0.99954687065753,-2.1604898569,1.8494914496944,0.9095080491,3.57525620161188,0.8367751837,0.990730238035087,-2.2337058189,3.57514500279533,0.7269414663,2.3015773386803,0.7166754603,0.643859726936911,0.7166754603,0.643859848573066,0.6190172434,0.956476933169751,-2.5211275219,0.647634621207622,-2.5211275219,0.647634702342655,0.6190829873,1.68659550791825e-06,0.6204651594,1.29523439139948,0.1797170937,0.999320127886288,0.1797299385,1.76214448317325e-06,-2.5677490829,1.28284403670754,-2.8464692239,3.67623505947079,0.128046751,4.84273400955524,0.2903898656,1.00362683908486,0.2967072129,3.6765978339906,-2.7924674149,1.90228169620532,0.431460619,1.01930872317515,0.3568615317,1.90218216835125,0.8367751837,0.990730238035087,3.86853411988979,2.3015773386803,0.1797170937,0.999320127886288,3.26963940458979,4.84273400955524
0.1665,1.0819972609,1.01762020934712,0.9890360679,1.84909058154609,0.9448031039,0.999546047556863,-2.1604898121,1.84948999032612,0.9095079749,3.57525328287533,0.8367751688,0.990729414181355,-2.2337060121,3.57514240806775,0.7269414515,2.30157555663096,0.7166754455,0.643859240657874,0.7166754455,0.643859321660116,0.6190172285,0.956476168055133,-2.5211274771,0.647634134928584,-2.5211274771,0.647634216063618,0.6190338582,1.68651233986141e-06,0.6204651445,1.29523333783916,0.1797170788,0.999319304032556,0.1797351092,1.76218622190267e-06,-2.5677490381,1.28284306414947,-2.8464691791,3.67623246607111,0.1280467362,4.84273012011968,0.2903898806,1.00362601523113,0.2967071981,3.67659524059093,-2.7924673701,1.90228023683704,0.4314605445,1.01930801755271,0.3568615169,1.90218070898298,0.8367751688,0.990729414181355,3.86853410508979,2.30157555663096,0.1797170788,0.999319304032556,3.26963938978979,4.84273012011968
0.1998,1.0819971856,1.01762056253487,0.9890361126,1.84909106755954,0.9448031486,0.999546399991549,-2.1604897674,1.84949063967197,0.9095080196,3.57525458023912,0.8367751538,0.990729767369107,-2.2337059674,3.57514338142257,0.7269414365,2.30157636665339,0.7166754305,0.643859443296271,0.7166754305,0.643859524298514,0.6190172135,0.956476403764656,-2.5211276714,0.64763429706586,-2.5211276714,0.647634418569224,0.6190207302,1.68661019455439e-06,0.6204651296,1.29523374311596,0.1797170639,0.999319657220307,0.1797943711,1.76201880354592e-06,-2.5677489934,1.28284338829123,-2.8464691344,3.67623343809803,0.1280467212,4.84273174016453,0.2903898656,1.00362636841888,0.2967071831,3.67659621394574,-2.7924673264,1.9022807228505,0.4314605891,1.01930837074047,0.3568615019,1.90218135700092,0.8367751538,0.990729767369107,3.86853409008979,2.30157636665339,0.1797170639,0.999319657220307,3.26963937478979,4.84273174016453
0.2331,1.0819972602,1.01762044430358,0.9890360682,1.84909106755954,0.9448031042,0.999546399991549,-2.1604899318,1.84949063967197,0.9095079752,3.57525458023912,0.8367751688,0.990729767369107,-2.2337058928,3.57514338142257,0.7269413918,2.30157636665339,0.7166754454,0.643859443296271,0.7166754454,0.643859524298514,0.6190171689,0.956476462503771,-2.5211275968,0.64763429706586,-2.5211275968,0.647634418569224,0.6190547198,1.68656721821694e-06,0.6204651445,1.29523374311596,0.179717049,0.999319657220307,0.1797774285,1.76225841481956e-06,-2.5677489188,1.28284346942626,-2.8464692978,3.67623343809803,0.1280467361,4.84273174016453,0.2903898507,1.00362636841888,0.296707198,3.67659621394574,-2.7924672518,1.90228088485498,0.4314605445,1.01930825250917,0.356861487,1.90218135700092,0.8367751688,0.990729767369107,3.86853404538979,2.30157636665339,0.179717049,0.999319657220307,3.26963938968979,4.84273174016453
0.2664,1.0819972158,1.01762020934712,0.9890361428,1.84909058154609,0.9448030588,0.999546047556863,-2.1604898572,1.84949015365851,0.9095079298,3.57525328287533,0.8367751837,0.990729414181355,-2.2337058182,3.57514240806775,0.7269414664,2.30157555663096,0.7166754604,0.643859240657874,0.7166754604,0.643859321660116,0.6190171838,0.956476168055133,-2.5211275222,0.647634094427463,-2.5211275222,0.647634216063618,0.6190609336,1.68659535388119e-06,0.6204651594,1.29523333783916,0.1797170937,0.999319304032556,0.1797439456,1.76216133429555e-06,-2.5677490832,1.28284306414947,-2.8464692232,3.67623246607111,0.128046751,4.84273012011968,0.2903898657,1.00362601523113,0.2967072129,3.67659524059093,-2.7924674152,1.90228023683704,0.4314605594,1.01930790007449,0.3568615318,1.90218070898298,0.8367751837,0.990729414181355,3.86853411998979,2.30157555663096,0.1797170937,0.999319304032556,3.26963940458979,4.84273012011968
0.2997,1.0819971416,1.01762103320085,0.9890360686,1.84909187890988,0.9448031036,0.99954687065753,-2.1604898124,1.8494914496944,0.9095079746,3.57525620161188,0.8367751688,0.990730238035087,-2.2337060124,3.57514500279533,0.7269413919,2.3015773386803,0.7166754455,0.643859726936911,0.7166754455,0.643859807939154,0.6190171689,0.956476874430637,-2.5211274774,0.647634621207622,-2.5211274774,0.647634702342655,0.6190813035,1.68659659016133e-06,0.6204651446,1.29523439139948,0.1797170491,0.999320127886288,0.1797665209,1.7620981073974e-06,-2.5677490384,1.28284403670754,-2.8464691784,3.67623505947079,0.1280467362,4.84273400955524,0.2903898508,1.00362683908486,0.2967071981,3.6765978339906,-2.7924673704,1.90228169620532,0.4314605445,1.01930872317515,0.3568614871,1.90218216835125,0.8367751688,0.990730238035087,3.86853404548979,2.3015773386803,0.1797170491,0.999320127886288,3.26963938978979,4.84273400955524
